指図のMRP管理者	製造指図/ネットワーク	指図の品目テキスト	計画開始	計画終了	明細カテゴリ	MRP管理者	品目コード	品目テキスト	出庫完了	所要量	出庫済み	所要残（不足数）	出庫保管場所在庫	プラント在庫数量	出庫保管場所	棚番	購買グループテキスト	仕入先コード	仕入先名称	購買依頼	購買発注量	購買発注登録日	指定納期	回答納期	入庫日付	購買伝票	常備の購買発注	MRPタイプ	WBS要素	親WBS要素	親ネットワーク番号	不足品目	利用可能数量
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	C00A6244800	80V-300A T1 UNIT 塗装指示		            3.000	            0.000	            3.000	            0.000	            0.000	1210		武村　靖彦	S00715	シンコー（株）	0012697339	            3.000	2025/03/26	2025/08/20	0000/00/00	0000/00/00	4502391451		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	E00A0494000	絶縁ｼｰﾄ 30X52		            6.000	            0.000	            6.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697328	            6.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391508		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	E00A2088100	ﾋｰﾄｼﾝｸ絶縁板2		            3.000	            0.000	            3.000	            0.000	            0.000	1216		武村　靖彦	S01414	（株）松本製作所	0012697329	            3.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391509		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	E00A2088300	絶縁ﾍﾞｰｸ		            3.000	            0.000	            3.000	            0.000	            0.000	1216		武村　靖彦	S01414	（株）松本製作所	0012697330	            3.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391510		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	E00A3330600	80V-300A(UNIT) 改造ﾌﾞｽﾊﾞｰ	X	            3.000	            3.000	            0.000	            0.000	            0.000	1210		川崎　喜之	S00865	（株）タカテツ	0012697331	            3.000	2025/03/26	2025/08/20	2025/08/20	2025/08/04	4502391476		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	E3A249203	10Pﾀﾝｼﾀﾞｲﾍﾞｸ		            6.000	            0.000	            6.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697332	            6.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391511		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EBA605200	ﾀﾝｼﾀﾞｲﾍﾞｰｸ14P		            3.000	            0.000	            3.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697333	            3.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391512		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EEA719200	ｼｬﾍｲｲﾀ		            6.000	            0.000	            6.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697334	            6.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391513		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EEA719300	ﾋｰﾄｼﾝｸｾﾞﾂｴﾝ		            3.000	            0.000	            3.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697335	            3.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391514		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EEA723603	端子取付板		            3.000	            0.000	            3.000	            0.000	            0.000	1216		武村　靖彦	S01414	（株）松本製作所	0012697336	            3.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391515		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EFA313000	ｽﾍﾟｰｻｰ		            9.000	            0.000	            9.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697337	            9.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391516		PD					            0.000
B50	10132911	80V-300A T1(UNIT)	2025/09/01	2025/09/16	N	900	EFA313100	ｾﾞﾂｴﾝｶﾝ		            9.000	            0.000	            9.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012697338	            9.000	2025/03/26	2025/08/20	2025/08/20	0000/00/00	4502391517		PD					            0.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	PC1	P00A0748700	MK-7487 RC CPU(RoHS)		            3.000	            0.000	            3.000	           50.000	           50.000	1120	3153(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	PC1	P0A574600	MK-5746A     RC PANEL		            3.000	            0.000	            3.000	           12.000	           12.000	1120	3154(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            2.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	E1B925000	ﾂﾏﾐ		            3.000	            0.000	            3.000	         2142.000	         2142.000	1210	B1001	海外				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	600033403	AVCｽｰﾊﾟｰｸﾞﾗﾝﾄﾞ FGA21M-11B		            3.000	            0.000	            3.000	           33.000	           33.000	1210	B2102	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/08/05	2025/10/27	2025/10/27	0000/00/00		4502417998	PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	EBA514400	ﾎﾞｳｼﾞﾝｶﾊﾞ-		            3.000	            0.000	            3.000	          558.000	          558.000	1210	B4001	海外	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/26	2025/09/11	0000/00/00	0000/00/00		4502416030	PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	J5B236101	N1.5 ﾘﾓｺﾝﾊﾟﾈﾙ		            3.000	            0.000	            3.000	            6.000	            6.000	1210	B4001	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	N1B060600	ﾊﾟﾈﾙｼｰﾄ HKD		            3.000	            0.000	            3.000	          159.000	          159.000	1210	B4001	海外				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	53602053700	BS-309Eｼﾞｭﾗｺﾝｽﾍﾟｰｻ ﾖﾋﾞM3 ｶﾞｲｹｲ 5.5MM ﾀｶｻ		           12.000	            0.000	           12.000	          140.000	          140.000	1210	B4003	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/08/08	2025/10/27	0000/00/00	0000/00/00		4502418933	PD					           12.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	E00A3223500	MRSｽﾎﾟﾝｼﾞ 1		            3.000	            0.000	            3.000	           47.000	           47.000	1210	B6002	武村　靖彦	S00077	株式会社　北伸		            0.000	2025/07/10	2025/09/18	2025/09/18	0000/00/00		4502412613	PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	E00A3223600	MRSｽﾎﾟﾝｼﾞ 2		            3.000	            0.000	            3.000	           33.000	           33.000	1210	B6006	武村　靖彦	S00077	株式会社　北伸		            0.000	2025/07/24	2025/10/02	2025/10/02	0000/00/00		4502415312	PD					            3.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	E00C0058900	MRSﾘﾓｺﾝｹｰｽ	X	            3.000	            3.000	            0.000	          308.000	          308.000	1210	P2	武村　靖彦	S01708	明誠技工（株）		            0.000	2025/07/29	2025/10/20	0000/00/00	0000/00/00		4502416692	PD					            0.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	M1J1C0540	M1J1C0540 -Z RCｶﾊﾞﾆｼﾞｶｺｳ		            3.000	            0.000	            3.000	            0.000	            0.000	1210	P2	武村　靖彦	S01414	（株）松本製作所		            0.000	2025/06/23	2025/08/25	2025/08/25	0000/00/00		4502409106	PD				X	            0.000
B55	10132912	MRT-RE PANEL	2025/08/27	2025/09/10	L	900	52041111800	MVVS 0.75# X  8C ｶﾞｲｹｲ10.6MM		            3.000	            0.000	            3.000	           90.500	           90.500	1210	製造CT	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            3.000
B10	10132921	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	2025/09/09	2025/09/22	L	BE0	A00A1941000	UG1-2050F		            1.000	            0.000	            1.000	            0.000	           36.000	1911						            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P4					            1.000
B10	10132921	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	2025/09/09	2025/09/22	L	900	26440001400	A101Z-12PC 12 250 15 AC2000V/*		            2.000	            0.000	            2.000	          121.000	          121.000	1210	B2102	田中				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            2.000
B10	10132921	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	2025/09/09	2025/09/22	L	CD0	E00A2189800	電線製作指示書		            1.000	            0.000	            1.000	            7.000	            7.000	1210	内製1012					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					            1.000
B10	10132921	UG1-2050FT3 ｽﾗｲﾄﾞ金具付	2025/09/09	2025/09/22	N	900	J00A0742104	T3取付金具 UG1-2025F-150F		            1.000	            0.000	            1.000	            0.000	            0.000	1210		武村　靖彦	S00439	加賀金属（株）	0012697606	            1.000	2025/03/27	2025/09/04	2025/09/04	0000/00/00	4502391676		PD					            0.000
B82	10132933	#YWE-SR350-AJ0(C)	2025/07/29	2025/08/07	N	900	U00A0045500	#YWE-SR350-AJ0(C)UNIT		           50.000	            0.000	           50.000	            0.000	            0.000	1210		海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.	0012698331	           50.000	2025/04/02	2025/07/25	0000/00/00	0000/00/00	4502392496		PD					            0.000
B82	10132934	#YWE-SR350-AJ0(C)	2025/09/02	2025/09/22	N	900	U00A0045500	#YWE-SR350-AJ0(C)UNIT		           50.000	            0.000	           50.000	            0.000	            0.000	1210		海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.	0012698333	           50.000	2025/04/02	2025/08/25	0000/00/00	0000/00/00	4502392497		PD					            0.000
B82	10132935	#YWE-SR350-AJ0(C)	2025/10/02	2025/10/03	N	900	U00A0045500	#YWE-SR350-AJ0(C)UNIT		           50.000	            0.000	           50.000	            0.000	            0.000	1210		海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.	0012698334	           50.000	2025/04/02	2025/09/24	0000/00/00	0000/00/00	4502392498		PD					            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A360010	IK-3600 U10 21EX_DRIVER		           10.000	            0.000	           10.000	           10.000	           10.000	1120	3134(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC5	P0A552800	WK-5528    ENC0DER ROHS		           10.000	            0.000	           10.000	          144.000	          244.000	1120	3134(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A563000	WK-5630B     CM151 FILTER		           10.000	            0.000	           10.000	            0.000	            0.000	1120	3142(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603000	WK-6030C   GUN_CTL(SUB)		           10.000	            0.000	           10.000	            4.000	            4.000	1120	3313(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC4	P0A552716	WK-5527 U16  NSW(ROHS)		           10.000	            0.000	           10.000	           17.000	           17.000	1120	3326(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603200	WK-6032B     RELLAY_PCB		           10.000	            0.000	           10.000	           17.000	           17.000	1120	3333(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603400	WK-6034A   GUN_CTL(MAIN)		           10.000	            0.000	           10.000	            5.000	            5.000	1120	3334(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603300	WK-6033       LED_PCB		           10.000	            0.000	           10.000	            6.000	            6.000	1120	3394(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603500	WK-6035A     PWM.PCB		           10.000	            0.000	           10.000	            1.000	            1.000	1120	3424(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	PC1	P0A603100	WK-6031A     CPU_PCB		           10.000	            0.000	           10.000	            6.000	            6.000	1120	3913(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	20551111100	VAQ4B AC250V AC 15A ｾﾂﾃﾝ1C ﾏﾙｶﾞﾀ ｸﾛ ROHS		           30.000	            0.000	           30.000	           30.000	           30.000	1210	B1001	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/04/03	2025/09/10	2025/09/10	0000/00/00		4502393167	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22003112300	MY2 DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃﾝ*		           50.000	            0.000	           50.000	          132.000	          132.000	1210	B1001	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/06/06	2025/09/10	2025/09/10	0000/00/00		4502405775	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22020130300	G2R1S DC24V 1C ｾﾂﾃﾝAC 380V ｾﾂ*		           10.000	            0.000	           10.000	          619.000	          619.000	1120	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22050812100	PTF08A ｿｹﾂﾄ		           30.000	            0.000	           30.000	          647.000	          647.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22050813000	P7SA-14F-ND ｿｹﾂﾄ		           20.000	            0.000	           20.000	           30.000	           30.000	1210	B1001	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/05/16	2025/09/10	2025/09/10	0000/00/00		4502401193	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22050816400	P2RF05		           10.000	            0.000	           10.000	          101.000	          101.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	25720001600	TBC5271-0111120 1P-250V 5.0AT*		           10.000	            0.000	           10.000	          769.000	          769.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	25720001700	TBC5271-0110720 1P-250V 2.0AT*		           30.000	            0.000	           30.000	          877.000	          877.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	26031238900	F2035EW 4P 4P 250V 20A ﾀｲｱﾂ20*		           10.000	            0.000	           10.000	          133.000	          133.000	1210	B1001	高間　奈穂	S00091	東亜無線電機（株）		            0.000	2025/07/18	2025/09/24	2025/09/24	0000/00/00		4502414417	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	31971000500	BMM603-1SQ 30A AC600V CSA		           20.000	            0.000	           20.000	          436.000	          436.000	1210	B1001	桑山	S01285	ピコ（株）		            0.000	2025/04/03	2025/09/10	2025/09/10	0000/00/00		4502393068	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	348112120	ｻｰﾏﾙｶﾞｰﾄﾞ OHD3-70B		           10.000	            0.000	           10.000	          118.000	          118.000	1210	B1001	高間　奈穂	S00129	ソレキア（株）		            0.000	2025/08/07	2025/10/21	2025/10/21	0000/00/00		4502418480	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	35015039300	LDA15F-24 DC  24V DC 0.7A 16.*		           10.000	            0.000	           10.000	           87.000	           87.000	1210	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	40014102700	GZG30W10Kｵｰﾑ(ROHS) 30W 10Kｵｰﾑ*		           20.000	            0.000	           20.000	          112.000	          112.000	1210	B1001	芦田	S01065	日本抵抗器販売（株）		            0.000	2025/07/24	2025/10/20	2025/10/20	0000/00/00		4502415476	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	40305423700	ERG5SJ222 5W 2.2kｵｰﾑ +       *		           30.000	            0.000	           30.000	         1205.000	         1205.000	1120	B1001	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	40306003000	ERG5SJ330 5W 33ｵｰﾑ +-5%		           20.000	            0.000	           20.000	         6998.000	         8270.000	1210	B1001	芦田				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	42421024500	ECWH12683JV DC1250V 0.068μF +*		           60.000	            0.000	           60.000	          610.000	          914.000	1210	B1001	高間　奈穂	S01944	（株）三ツ波		            0.000	2025/05/21	2025/11/12	2025/12/22	0000/00/00		4502402118	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	42442624300	DE2F3KY103MA3BM02F ｾﾗﾐｯｸｺﾝﾃﾞﾝ*		           80.000	            0.000	           80.000	         2728.000	         4078.000	1120	B1001	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	47953112400	LF-205A 250V 5A ﾀｲｱﾂ1500V/M		           10.000	            0.000	           10.000	          164.000	          164.000	1210	B1001	高間　奈穂	S00129	ソレキア（株）		            0.000	2024/05/07	2026/08/21	2026/08/21	0000/00/00		4502327353	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	50909012300	C-300-EF-3-10 2M ﾊﾟｯｷﾝ		            2.000	            0.000	            2.000	          111.000	          111.000	1210	B1001	岡本　浩				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	50990001600	2621603 ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝ ｶﾞｲｹｲ21MM *		           10.000	            0.000	           10.000	          652.000	          652.000	1210	B1001	海外	S50022	SANREX CORPORATION		            0.000	2025/07/22	2025/09/22	0000/00/00	0000/00/00		4502415062	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	53631214600	C30SG38A ﾏｸﾂｷｸﾞﾛﾒﾂﾄ		           80.000	            0.000	           80.000	           86.000	          436.000	1210	B1001	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/06/13	2025/08/20	2025/08/20	0000/00/00		4502407104	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	63200012800	F2515D ﾘﾝｸﾞｺｱ ﾌｧｲﾝﾒｯﾄ ﾅｲｹｲ12.*		           10.000	            0.000	           10.000	          338.000	          338.000	1210	B1001	生島　武				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	26061111200	CF6 6P 250V 8A ﾀｲｱﾂ1500V/M ﾊﾓ*		           10.000	            0.000	           10.000	          102.000	          109.000	1210	B2101	田中	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/26	2025/09/25	0000/00/00	0000/00/00		4502416071	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	42421018300	ECWH16333JV DC1600V 0.033MF +*		           40.000	            0.000	           40.000	         3362.000	         3362.000	1210	B2101	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	53602053500	KSR-1A ｵﾚﾌｫﾙﾑ L-15 ﾖﾋﾞM3 ｶﾞｲｹ*		           20.000	            0.000	           20.000	          905.000	          905.000	1210	B2101	高間　奈穂	S00091	東亜無線電機（株）		            0.000	2025/08/01	2026/01/15	2026/01/15	0000/00/00		4502417384	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	53602535200	KSR-3A ｵﾚﾌｫﾙﾑ L-25 ﾖﾋﾞM3 ｶﾞｲｹ*		           40.000	            0.000	           40.000	          798.000	          798.000	1210	B2101	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	53631214500	C30SG20A ﾏｸﾂｷｸﾞﾛﾒﾂﾄ		           10.000	            0.000	           10.000	          893.000	         1093.000	1210	B2101	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/07/19	2025/09/24	2025/09/24	0000/00/00		4502414831	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	670715127	SJ3A3067    W4677ｾﾞﾂｴﾝ		           20.000	            0.000	           20.000	          638.000	          638.000	1210	B2101	岡本　浩				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	971434863	RJ4A-4863B ｾﾞﾂｴﾝｼｰﾄ		           20.000	            0.000	           20.000	          249.000	          249.000	1210	B2101	武村　靖彦	S01879	JMT（株）		            0.000	2025/07/16	2025/10/07	2025/10/07	0000/00/00		4502413957	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	E00A0610100	絶縁板		           40.000	            0.000	           40.000	          162.000	          162.000	1210	B2101	岡本　浩				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22004212300	LY2 DC24V 2C ｾﾂﾃﾝAC 250V ｾﾂﾃﾝ*		           20.000	            0.000	           20.000	           33.000	           33.000	1120	B2102	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/06/13	2025/09/10	2025/09/10	0000/00/00		4502407172	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	26031538300	F1005-20S-6P-PCA 6P 660V 20A *		           20.000	            0.000	           20.000	           59.000	           59.000	1210	B2102	高間　奈穂	S00291	旭テック（株）		            0.000	2025/04/24	2025/09/10	2025/09/02	0000/00/00		4502397813	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	40306186400	MOS5C153J 5W 15KΩ ±5%		           20.000	            0.000	           20.000	          737.000	          737.000	1120	B2102	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	41210212700	RV24YN  15S  B102(1K) 0.4W 1K*		           20.000	            0.000	           20.000	           82.000	           82.000	1210	B2102	岡本　浩	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/31	2025/09/25	0000/00/00	0000/00/00		4502417052	PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	42421020300	ECWH12222JV DC1250V 0.0022MF *		           20.000	            0.000	           20.000	         2306.000	         6105.000	1120	B2102	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	42421022100	ECQE2104KF DC 250V 0.1MF +-10%		           20.000	            0.000	           20.000	         3979.000	         4517.000	1120	B2102	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B50	10132940	NSW-21EX   (ﾘｮｳｻﾝ STD)	2025/09/22	2025/10/28	L	900	22050713500	PFP50N ｼｼﾞﾚ-ﾙ		           10.000	            0.000	           10.000	           13.000	           13.000	1210	B2201	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/06/13	2025/09/10	2025/09/10	0000/00/00		4502407165	PD				X	            0.000
