品目コード	プラント	品目タイプ	品目St	標準原価	価格単位	１個標準原価	現会計年度	現会計期間	評価クラス	間接費グループ	基本数量単位	調達タイプ	特殊調達タイプ	削除フラグ	品目テキスト	バルク品目	登録日付	登録者	変更日付	変更者	品目グループ	発注単位	NL	プラントレベル削除フラグ	出庫保管場所	入庫保管場所	在庫決定グループ	購買グループ	MRPグループ	MRP管理者	MRPタイプ	日程計画余裕キー	納入予定日数	入庫処理日数	発注点	安全在庫	最小ロットサイズ	最大ロットサイズ	固定ロットサイズ	購買発注丸め数量	組立不良率	製造計画担当	原産国	原産地	利益センタ	原価計算ロットサイズ	原価計算特殊調達タイプ	間接費キー	品目発生源	RoHSフラグ	RoHS日付	RoHSテキスト	安全重要	安全重要テキスト	設計予算材料費	設計予算加工費	図面改訂	該非判定	メーカーコード	メーカ正式名称1	メーカ正式名称2	格上げ区分	工程	適合確認Ver	集団変換後品目コード	GL勘定	棚番	メーカー名	Av	バックフラッシュ	購買発注テキスト
263951145	P300	ROH		415000.000	1000	415.000	2025	001	1200	ZZS310	PC	F			NCS-256-R ﾒﾀﾙｺﾝｾﾝﾄ		20090612	SIS008	20250407	MM1055	26		N		3110	3110		504		S90	PD	080	16	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			352.00	0.00		X								154000		ﾅﾅﾎﾞｼD	02		
263951176	P300	ROH		3910000.000	1000	3910.000	2025	001	1200	ZZS310	PC	F			NCS-542-RFｶｸｶﾞﾀ ﾒﾀﾙｺﾝｾﾝﾄ		20090612	SIS008	20250407	MM1055	26		N		3110	3110		504		S90	PD	080	16	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			3261.50	0.00		X								154000		ﾅﾅﾎﾞｼD	02		
263951181	P300	ROH		750000.000	1000	750.000	2025	001	1200	ZZS310	PC	F			NCS-256-RF ﾒﾀﾙｺﾝｾﾝﾄ		20090612	SIS008	20250407	MM1055	26		N		3110	3110		504		S90	PD	080	14	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			627.00	0.00		X								154000		ﾅﾅﾎﾞｼD	02		
263951191	P300	ROH		520000.000	1000	520.000	2025	001	1200	ZZS310	PC	F			NCS-303-R ﾒﾀﾙｺﾝｾﾝﾄ		20090612	SIS008	20250407	MM1055	26		N		3110	3110		504		S90	PD	040	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			368.50	0.00		X	4500245	七星科学研究所				3		154000		ﾅﾅﾎﾞｼD	02		
26580001000	P300	ROH		11140000.000	1000	11140.000	2025	001	1200	ZZS310	PC	F			TOP DRAWER 292-66-00100A SOCHETSIDE ｶﾞｲﾄ		20090611	SIS008	20250407	MM1055	26		L		3110	3110		502		S90	PD	020	40	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			4290.00	0.00		X								154000		ELCON	02		セット：26580002500　TOP DRAWER291-0206-00100
26747001100	P300	ROH		560000.000	1000	560.000	2025	001	1200	ZZS310	PC	F			A/MS3057-10A		20121019	SISSYS	20250407	MM1055	26		L		3110	3110		500		S90	PD	080	150	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			320.00	0.00		X	4500042	アンフェノール　Ｊ．						154000		ｱﾝﾌｪﾉJ	02		2017/1/24時点仕入先回答：廃品情報現状なし。生産地情報：海外
26999042700	P300	ROH		730000.000	1000	730.000	2025	001	1200	ZZS310	PC	F			H-OU-11 ｺﾈｸﾀ,ﾊｰﾈｽ 6P		20171014	SISSYS	20250407	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						300.00	0.00			4500793	コーセル						154000		ｺｰｾﾙ	02		
26999042800	P300	ROH		710000.000	1000	710.000	2025	001	1200	ZZS310	PC	F			H-OU-12 ｺﾈｸﾀ,ﾊｰﾈｽ 7P		20171014	SISSYS	20250407	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						350.00	0.00			4500793	コーセル						154000		ｺｰｾﾙ	02		
26999042900	P300	ROH		610000.000	1000	610.000	2025	001	1200	ZZS310	PC	F			H-IN-10 ｺﾈｸﾀ,ﾊｰﾈｽ 5P		20171014	SISSYS	20250407	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						200.00	0.00			4500793	コーセル						154000		ｺｰｾﾙ	02		
27115112403	P300	ROH		10090000.000	1000	10090.000	2025	001	1200	ZZS310	PC	F			CL(LB) 7.2KV G= 60A T= 40A ｼﾔ*		20180713	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	010	90	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						8000.00	0.00			4501074	三菱電機						154000		ﾐﾂﾋﾞｼD	02		
30102121200	P300	ROH		120000.000	1000	120.000	2025	001	1200	ZZS310	PC	F			LS3 ﾊｸﾈﾂ 30V 1W BA9S/13		20090611	SIS008	20241129	PP1150	30		L		3110	3110		504		S90	PD	040	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			132.00	0.00		X	4500055	ＩＤＥＣ						154000		IDEC	02		
30201814900	P300	ROH		94000.000	1000	94.000	2025	001	1200	ZZS310	PC	F			DB-13-F-G LED DC2V ﾚﾝｽﾞ:GREEN*		20190912	SISSYS	20250407	MM1055	ZZZ		L		3110	3110	3110	500		S90	PD	080	120	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			50.00	0.00			4500107	サトーパーツ						154000		ｻﾄﾊﾟｰﾂ	02		
30612004000	P300	ROH		665000.000	1000	665.000	2025	001	1200	ZZS310	PC	F			M2KA90A1-24EY LEDｼｷ ﾃﾝﾄｳDC 24V LEDｲﾛYELL		20090612	SIS008	20250407	MM1055	30		L		3110	3110		500		S90	PD	080	40	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2006/12/01	三社ランク指針適合品(RoHS品)			740.00	0.00		X								154000		ｵﾑﾛﾝ	02		
30615031200	P300	ROH		5400000.000	1000	5400.000	2025	001	1200	ZZS310	PC	F			XL3000-01X06-110-O 1ﾀﾞﾝ6ﾚﾂ LED AC/DC100V		20090611	SIS008	20250407	MM1055	30		N		3110	3110	3110	500		S90	PD	080	41	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/03/01	三社ランク指針適合品(RoHS品)			6600.00	0.00		X								154000		ﾌﾆ   D	02		
31001223000	P300	ROH		290000.000	1000	290.000	2025	001	1200	ZZS310	PC	F			EF-E10 10A AC115V		20090611	SIS008	20250407	MM1055	31		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			253.00	0.00		X	4501251	富士電機				3		154000		ﾌｼﾞﾃﾝｷ	02		
31001311500	P300	ROH		600000.000	1000	600.000	2025	001	1200	ZZS310	PC	F			BLC045-1 45A		20200717	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		504		S90	PD	080	28	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						480.00	0.00			4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31001901000	P300	ROH		3060000.000	1000	3060.000	2025	001	1200	ZZS310	PC	F			JRS37-400IST 450A AC300V DC40*		20170210	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						3200.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
310021117	P300	ROH		690000.000	1000	690.000	2025	001	1200	ZZS310	PC	F			Fﾀｲﾌﾟﾍﾞｰｽ AFA60		20090611	SIS008	20250407	MM1055	31		N		3110	3110		500		S90	PD	080	17	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						605.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31002112900	P300	ROH		45000.000	1000	45.000	2025	001	1200	ZZS310	PC	F			R15 ﾘﾝｸﾞ 15Aﾖｳ		20090612	SIS008	20250717	MM1005	31		L		3110	3110	3110	500		S90	PD	080	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X	2005/10/01	RoHS非適合品			39.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31101216200	P300	ROH		790000.000	1000	790.000	2025	001	1200	ZZS310	PC	F			JRS61-75 75A AC600V DC600V ｼﾔ*		20120126	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			908.00	0.00		X	4500968	洋電エンジニアリング						154000		ﾖｳﾃﾞﾝ	02		
31101216400	P300	ROH		5765000.000	1000	5765.000	2025	001	1200	ZZS310	PC	F			JRS37-700IST 700A AC300V DC40*		20140324	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		502		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			5765.00	0.00		X	4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101217700	P300	ROH		3260000.000	1000	3260.000	2025	001	1200	ZZS310	PC	F			JRS37-450IST 450A AC300V DC40*		20141001	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			3260.00	0.00		X	4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101218000	P300	ROH		1490000.000	1000	1490.000	2025	001	1200	ZZS310	PC	F			JRS36-250 250A AC300V DC400V*		20150317	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1490.00	0.00		X	4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101218700	P300	ROH		1995000.000	1000	1995.000	2025	001	1200	ZZS310	PC	F			JRS36-200I 200A AC300V DC400V*		20151209	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		502		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1995.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101218800	P300	ROH		2345000.000	1000	2345.000	2025	001	1200	ZZS310	PC	F			JRS36-150IST 150A AC300V DC40*		20151215	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			2345.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101219500	P300	ROH		1605000.000	1000	1605.000	2025	001	1200	ZZS310	PC	F			JRS31-75IST 75A AC300V DC400V*		20170518	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		502		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						1848.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101219600	P300	ROH		1600000.000	1000	1600.000	2025	001	1200	ZZS310	PC	F			JRS31-60IST 60A .		20170613	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		503		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						1600.00	0.00			4500968	洋電エンジニアリング						154000		ﾖｳﾃﾞﾝ	02		
31101220100	P300	ROH		1740000.000	1000	1740.000	2025	001	1200	ZZS310	PC	F			JRS32B-80IST 80A AC300V DC400*		20190920	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		500		S90	PD	080	20	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1750.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101220900	P300	ROH		5823000.000	1000	5823.000	2025	001	1200	ZZS310	PC	F			JR67-500IST 500A AC600V DC600*		20221129	SISSYS	20250407	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						4630.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101221200	P300	ROH		4998000.000	1000	4998.000	2025	001	1200	ZZS310	PC	F			JR67-400IST 400A AC600V DC600*		20230915	SISSYS	20250407	MM1055	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						5296.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		
31101221500	P300	ROH		2973000.000	1000	2973.000	2025	001	1200	ZZS310	PC	F			JR37-350 350A AC300V DC300V ｼ*		20240722	SISSYS	20250411	MM3006	ZZZ		N		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						2860.00	0.00			4501573	中原電機						154000		ﾅｶﾊﾗD	02		生産中止品番31101219200仕入先在庫あるので、先に使用する。
313014234	P300	ROH		34700.000	1000	34.700	2025	001	1200	ZZS310	PC	F			ﾄﾒｶﾅｸﾞ  BNL-5		20090612	SIS008	20250804	SISSYS	SUB		L		3110	3110	3110	500		S90	PD	080	75	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			35.00	0.00		X	4500055	ＩＤＥＣ				5		154000		IDEC	02		2017/8/30時点仕入先情報：終息予定なし。生産地情報：兵庫県
31402160900	P300	ROH		34600.000	1000	34.600	2025	001	1200	ZZS310	PC	F			MT4 3A AC250V ｶﾞｲｹｲ 5.2ﾌｱｲ ﾅｶﾞｻ  20MM UL		20090612	SIS008	20250407	MM1055	MAIN		L		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2005/07/01	三社ランク指針適合品(RoHS品)	A	安全重要部品	38.10	0.00		X								154000		SOC	02		2017/1/31時点仕入先回答：購入可能。廃品情報ありません。生産地：秋田県
31402161100	P300	ROH		28500.000	1000	28.500	2025	001	1200	ZZS310	PC	F			MT4 2A AC250V ｶﾞｲｹｲ 5.2ﾌｱｲ ﾅｶﾞｻ  20MM RO		20090610	SIS019	20250407	MM1055	31		L		3110	3110	3110	500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2005/07/01	三社ランク指針適合品(RoHS品)	A	安全重要部品	35.97	0.00		X								154000		SOC	02		2017/1/31時点仕入先回答：購入可能。廃品情報ありません。生産地：秋田県
314024321	P300	ROH		150000.000	1000	150.000	2025	001	1200	ZZS310	PC	F			ﾋﾕｰｽﾞﾎﾙﾀﾞ 354001-GY		20090611	SIS008	20250407	MM1055	31		L		3110	3110		504		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			140.00	0.00		X	450Z999	メーカー一任				3		154000		FREE	02		
31801223900	P300	ROH		120000.000	1000	120.000	2025	001	1200	ZZS310	PC	F			F-700-B 10A AC250V 6.4X30MM ｷ*		20170130	SISSYS	20250407	MM1055	ZZZ		L		3110	3110		503		S90	PD	010	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)	A	安全重要部品	103.00	0.00			4500107	サトーパーツ				4		154000		ｻﾄﾊﾟｰﾂ	02		
318081113	P300	HALB		226000.000	1000	226.000	2025	001	2200	ZZS310	PC	F			VJ1A0767 TE-1 ｷ6ｶｸM6X25ﾂｷ		20090612	SIS008	20240925	SIS054	31		L		3110	3110		502		S90	PD	040	10	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			88.00	0.00		Y								154000		ﾖｼｶﾜｷﾝ	02		2017/9/6時点仕入先情報：終息予定なし。生産地情報：大阪府。
31912001000	P300	ROH		8740000.000	1000	8740.000	2025	001	1200	ZZS310	PC	F			6,9URD33TTF800 800A AC690V ｼﾔﾀﾞﾝ 200KA X		20090612	SIS008	20250407	MM1055	31		L		3110	3110		502		S90	PD	010	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			8800.00	0.00		Y								154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：中国
31912005900	P300	ROH		13570000.000	1000	13570.000	2025	001	1200	ZZS310	PC	F			CC1591CPGRC36X190/40 40A DC15*		20090611	SIS008	20250407	MM1055	31		L		3110	3110	3110	500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			13200.00	0.00		Y	3000002	ＦＥＲＲＡＺ						154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：フランス
31912006000	P300	ROH		14375000.000	1000	14375.000	2025	001	1200	ZZS310	PC	F			SI85-36X190+MC2R1-5 ROHSﾀｲｵｳﾋﾝ		20090611	SIS008	20250407	MM1055	31		L		3110	3110	3110	500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			14300.00	0.00		Y								154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：フランス
31912008800	P300	ROH		550000.000	1000	550.000	2025	001	1200	ZZS310	PC	F			HT6017T2 16-100A AC660V DC660*		20091124	SISSYS	20250407	MM1055	ZZZ		L		3110	3110		504		S90	PD	020	180	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			539.00	0.00		X	4501269	日之出電機				4		154000		ﾋﾉﾃﾞ D	02		
31912124900	P300	ROH		1810000.000	1000	1810.000	2025	001	1200	ZZS310	PC	F			CR2L200G 200A AC250V ｼﾔﾀﾞﾝ 10*		20090611	SIS008	20250627	MM1055	31		N		3110	3110		504		S90	PD	040	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			1595.00	0.00		X	4501251	富士電機				3		154000		ﾌｼﾞﾃﾝｷ	02		
31912125900	P300	ROH		2330000.000	1000	2330.000	2025	001	1200	ZZS310	PC	F			CR6L200G 200A AC600V DC735V ｼ*		20090611	SIS008	20250407	MM1055	31		L		3110	3110		504		S90	PD	030	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X	2005/10/01	RoHS非適合品			2057.00	0.00		X	4501251	富士電機						154000	P15-2	ﾌｼﾞﾃﾝｷ	02		
31912126100	P300	ROH		1910000.000	1000	1910.000	2025	001	1200	ZZS310	PC	F			CR2L260G 260A AC250V ｼﾔﾀﾞﾝ 10*		20090611	SIS008	20250407	MM1055	31		N		3110	3110		504		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X		2005/10/01				1694.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31912127600	P300	ROH		440000.000	1000	440.000	2025	001	1200	ZZS310	PC	F			CRX1 ﾏｲｸﾛｽｲﾂﾁ 0A 0ｼﾔﾀﾞﾝKA		20090611	SIS008	20250407	MM1055	31		N		3110	3110	3110	504		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			385.00	0.00		X	4501251	富士電機				3		154000		ﾌｼﾞﾃﾝｷ	02		
31912127900	P300	ROH		3570000.000	1000	3570.000	2025	001	1200	ZZS310	PC	F			CR2L600G 600A AC250V ｼﾔﾀﾞﾝ 100KA ｹｲﾎｳﾋｭ-		20090611	SIS008	20250704	SD1039	31		N		3110	3110		500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						3157.00	0.00		Y								154000		ﾌｼﾞﾃﾝｷ	02		
31912129400	P300	ROH		1370000.000	1000	1370.000	2025	001	1200	ZZS310	PC	F			CR2L150G 150A AC250V ｼﾔﾀﾞﾝ 10*		20090611	SIS008	20250407	MM1055	31		L		3110	3110		504		S90	PD	030	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X	2005/10/01	RoHS非適合品			1213.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31912129500	P300	ROH		1970000.000	1000	1970.000	2025	001	1200	ZZS310	PC	F			CR2L300G 300A AC250V DC400V ｼ*		20090611	SIS008	20250407	MM1055	31		L		3110	3110		504		S90	PD	040	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			1738.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31912131700	P300	ROH		4210000.000	1000	4210.000	2025	001	1200	ZZS310	PC	F			CR6L500G 500A AC600V DC735V ｼ*		20090612	SIS008	20250718	PP1150	31		L		3110	3110		504		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			5676.00	0.00		X	4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31912133500	P300	ROH		888000.000	1000	888.000	2025	001	1200	ZZS310	PC	F			CR2LS10G 10A AC250V ｼﾔﾀﾞﾝ 100*		20171003	SISSYS	20250407	MM1055	ZZZ		N		3110	3110		504		S90	PD	030	52	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						977.00	0.00			4501251	富士電機						154000		ﾌｼﾞﾃﾝｷ	02		
31912143400	P300	ROH		4550000.000	1000	4550.000	2025	001	1200	ZZS310	PC	F			CS10F300 300A AC1000V ｼﾔﾀﾞﾝ 2*		20090611	SIS008	20250407	MM1055	31		N		3110	3110	3110	500		S90	PD	080	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	E		欧州RoHS適合品(RoHS品)			4026.00	0.00		X	4501251	富士電機				3		154000		ﾌｼﾞﾃﾝｷ	02		
31912143600	P300	ROH		3770000.000	1000	3770.000	2025	001	1200	ZZS310	PC	F			CS10F400 400A AC1000V ｼﾔﾀﾞﾝ 200KA ROHSﾀｲ		20090611	SIS008	20250610	PP1150	31		L		3110	3110		504		S90	PD	040	37	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/02/01	三社ランク指針適合品(RoHS品)			3341.00	0.00		Y								154000		ﾌｼﾞﾃﾝｷ	02		CCC認証なし（2020･03･26　桑山）
31912158000	P300	ROH		3565000.000	1000	3565.000	2025	001	1200	ZZS310	PC	F			12.5URD70TTF125		20090611	SIS008	20250407	MM1055	31		L		3110	3110		502		S90	PD	010	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			3600.00	0.00		Y								154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：中国
31912165000	P300	ROH		920000.000	1000	920.000	2025	001	1200	ZZS310	PC	F			MS7V1-5BSJ		20160414	SISSYS	20250407	MM1055	ZZZ		L		3110	3110		502		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			800.00	0.00			3000002	ＦＥＲＲＡＺ						154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：国内
31912165400	P300	ROH		748000.000	1000	748.000	2025	001	1200	ZZS310	PC	F			MS3V1-5BS		20160519	SISSYS	20250407	MM1055	ZZZ		L		3110	3110		502		S90	PD	010	60	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						650.00	0.00		Y	3000002	ＦＥＲＲＡＺ						154000		FERRAZ	02		2017/6/29時点仕入先情報：終息予定なし。生産地情報：フランス
31912168100	P300	ROH		460000.000	1000	460.000	2025	001	1200	ZZS310	PC	F			DCT3-2 3A AC750V DC1000V ｼﾔﾀﾞ*		20200319	SISSYS	20250627	PP1163	ZZZ		L		3110	3110	3110	500		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A		三社ランク指針適合品(RoHS品)			400.00	0.00			3000002	ＦＥＲＲＡＺ			G1	4		154000	P25-3-8-2	FERRAZ	02		
31925000100	P300	ROH		1870000.000	1000	1870.000	2025	001	1200	ZZS310	PC	F			EFB5 3A AC500V ｼﾔﾀﾞﾝ  50KA ﾎﾙ*		20091128	SISSYS	20190621	MM3006	ZZZ		N		3110	3110		502		S90	PD	010	82	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						1870.00	0.00		X	4501224	日立						154000		ﾋﾀﾁ SS	02		
31925000500	P300	ROH		1600000.000	1000	1600.000	2025	001	1200	ZZS310	PC	F			EFB5 10A AC500V ｼﾔﾀﾞﾝ  50KA ﾎ*		20090611	SIS019	20250407	MM1055	31		N		3110	3110		502		S90	PD	010	82	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	X		RoHS非適合品			2117.00	0.00		X	4501224	日立						154000		ﾋﾀﾁ SS	02		
33001125000	P300	ROH		46800000.000	1000	46800.000	2025	001	1200	ZZS310	PC	F			PF16BT4B 3ｿｳ 4P AC415V 50HZ ﾊｲｷ 400W Bｼｭ		20090611	SIS008	20250401	MM3005	33		N		3110	3110		504		S90	PD	030	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2007/12/01	三社ランク指針適合品(RoHS品)			38610.00	0.00		Y								154000		ﾃﾗﾙｸﾘﾀ	02		
33001312900	P300	ROH		49300000.000	1000	49300.000	2025	001	1200	ZZS310	PC	F			PF20BS2A 1ｿｳ 6P AC200V 50/60HZ ﾊｲｷ 400W		20090612	SIS008	20250401	MM3005	33		N		3110	3110		504		S90	PD	080	30	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X	A	2008/06/01	三社ランク指針適合品(RoHS品)			36080.00	0.00		Y								154000		ﾃﾗﾙｸﾘﾀ	02		
33001326900	P300	ROH		13800000.000	1000	13800.000	2025	001	1200	ZZS310	PC	F			PF-10AS2D 1ｿｳ 4P AC200V 50/60*		20190924	SISSYS	20250401	MM3005	ZZZ		N		3110	3110		500		S90	PD	080	45	1	0.000	0.000	0.000	0.000	0.000	0.000	0.00				PSSS400	1000.000			X						12000.00	0.00			4501185	テラルクリタ						154000		ﾃﾗﾙｸﾘﾀ	02		
